episode_return,episode_length,quality_flag
-119.638289,200,1
-115.824437,200,1
-220.361864,200,1
-223.841529,200,1
-224.998354,200,1
-123.31591,200,1
-234.563044,200,1
-127.677081,200,1
-115.763058,200,1
-124.906137,200,1
-128.753264,200,1
-122.446757,200,1
-130.427694,200,1
-118.928331,200,1
-244.272565,200,1
-233.394596,200,1
-122.686826,200,1
-116.183816,200,1
-128.627558,200,1
-121.535105,200,1
-231.014264,200,1
-0.703215,200,1
-116.826114,200,1
-221.277518,200,1
-117.146245,200,1
-0.390257,200,1
-0.756001,200,1
-223.754913,200,1
-237.854027,200,1
-247.746269,200,1
-1.177265,200,1
-116.716143,200,1
-234.538273,200,1
-124.43609,200,1
-0.781627,200,1
-0.70542,200,1
-231.359889,200,1
-119.20488,200,1
-129.317576,200,1
-122.000681,200,1
-128.117202,200,1
-126.612338,200,1
-118.891657,200,1
-231.164254,200,1
-130.478715,200,1
-306.973659,200,0
-233.464471,200,1
-223.321076,200,1
-128.329324,200,1
-234.027124,200,1
-121.198705,200,1
-125.185014,200,1
-0.633619,200,1
-123.87263,200,1
-124.163835,200,1
-237.959699,200,1
-222.379415,200,1
-370.4786,200,0
-129.450382,200,1
-241.459626,200,1
-119.417456,200,1
-129.253384,200,1
-0.560222,200,1
-129.389931,200,1
-124.374723,200,1
-127.804754,200,1
-233.003401,200,1
-126.392102,200,1
-237.797612,200,1
-119.135457,200,1
-233.50303,200,1
-129.258518,200,1
-116.799074,200,1
-121.643101,200,1
-232.413071,200,1
-1.514174,200,1
-234.159427,200,1
-119.245144,200,1
-128.984079,200,1
-128.395797,200,1
-240.525468,200,1
-224.940138,200,1
-1.357127,200,1
-249.429435,200,1
-0.998761,200,1
-128.176108,200,1
-121.129887,200,1
-221.167944,200,1
-234.485213,200,1
-116.310133,200,1
-0.386923,200,1
-119.855512,200,1
-118.995746,200,1
-130.424658,200,1
-120.004159,200,1
-234.135677,200,1
-363.687227,200,0
-114.566572,200,1
-234.714712,200,1
-225.089248,200,1
-335.235838,200,0
-120.17662,200,1
-126.231082,200,1
-288.155872,200,1
-232.562493,200,1
-122.094186,200,1
-128.678251,200,1
-123.882137,200,1
-129.48718,200,1
-0.2634,200,1
-124.513912,200,1
-325.564099,200,0
-233.707451,200,1
-252.050354,200,1
-0.828183,200,1
-243.250382,200,1
-126.991557,200,1
-115.241147,200,1
-126.980647,200,1
-117.486312,200,1
-0.306863,200,1
-256.386326,200,1
-220.38944,200,1
-0.687659,200,1
-222.316047,200,1
-1.718028,200,1
-247.472184,200,1
-122.794663,200,1
-256.503803,200,1
-117.239643,200,1
-123.404692,200,1
-127.631404,200,1
-120.482402,200,1
-0.253406,200,1
-0.789144,200,1
-116.409929,200,1
-121.341536,200,1
-224.287961,200,1
-122.614126,200,1
-4.549996,200,1
-228.307145,200,1
-1.94396,200,1
-220.880391,200,1
-231.297653,200,1
-119.67457,200,1
-122.450831,200,1
