reward,episode_length,success,final_tip_height,final_theta1_error,final_theta2_error
-1979.573452653147,600,0,-0.8416001728540188,1.881671353386363,2.2653712427097625
-2039.8649675541785,600,0,-1.877484974135805,2.7492749854629857,0.08603021302620276
-1975.18919101298,600,0,-1.9498241134224976,2.86237138299686,0.1277739682070954
-2016.9566986076425,600,0,-1.8216349432177397,2.752243948888336,0.06969086677067537
-1979.6692261264527,600,0,-1.6131330061664482,2.553180456141818,1.2624466046484337
-1940.404163160947,600,0,-0.9044818200256597,2.8842093126828785,1.890798122696787
-1966.7728997447064,600,0,-0.4863852790179923,2.3283073569396695,2.5861845918833155
-1978.4303059158046,600,0,-0.9253837483205831,3.059771339134818,1.723948871449594
-2025.7193919325293,600,0,-1.3987710873309727,2.9378449977759042,0.9342027731013695
-1891.4502274145127,600,0,-0.2621518586756584,3.1194168641901956,2.422484597060223
-2031.2328365955066,600,0,-1.795439876719041,3.0378292520907877,0.5383723474108173
-1763.7268733552871,600,0,-1.1145433853880642,2.5520115361493474,1.8730713944902808
-2032.3867533091436,600,0,-1.7737181103042061,2.491187047611726,0.8611290752216658
-1991.0651591237186,600,0,-1.2447231780598127,2.5088071890819155,0.4842600839011213
-1991.3230116844368,600,0,-1.4636187652011532,2.0698669580581854,1.2450956697999613
-2042.1461979814565,600,0,-1.85456239785122,2.8559981415962667,0.17661799636705255
-2038.4785208855096,600,0,-1.849853319903177,3.1180441316693,0.5781116354841316
-2031.0868741985482,600,0,-1.952095380426608,2.863384332034689,0.41582073714996043
-2025.4064660642564,600,0,-1.8045064640043242,2.5271547783648813,0.45558140825431903
-1820.597083713096,600,0,-1.1118167500992369,2.683076664052453,1.8125115210920726
-2012.4096603367832,600,0,-1.1471481170938194,2.5954130992541926,1.8199967426976245
-1945.7659573333885,600,0,-1.6584272074353201,3.0024042626540193,0.9783346928983596
-1911.7798612842448,600,0,-1.9089313731891469,2.7999864403736954,0.08286794265445696
-1865.7807882421998,600,0,-1.8369610516039163,3.132454793877504,0.5881514819209671
-1892.4200671295514,600,0,-0.8376368708104338,2.6331247441777714,2.1151264667900986
-2043.2525200625596,600,0,-1.8627615332651497,3.042960378885856,0.6190294675269866
-1982.9883584043052,600,0,-0.645123702046657,2.5425205621782148,2.351602627340807
-1983.22227420819,600,0,-1.0284958124448371,2.2256914996831227,2.0538914922089972
-1999.8201408096259,600,0,-1.8280464923494226,2.8338941183894932,0.19763437086724323
-2020.5098727730233,600,0,-1.8721525701406905,3.00341960697548,0.629551493296192
-1937.9261914862452,600,0,-1.5101916916269356,2.321017246491089,0.22600873248981368
-2004.3484780253907,600,0,-1.7346404967726472,3.0977534457630163,0.7880816696316023
-1942.576637985427,600,0,-1.6455414932159043,2.2989797565895507,0.6424118662608382
-1969.9948674382717,600,0,-1.0192630714575301,1.6011160715867998,1.3916649814857809
-1909.134034297602,600,0,-1.5383119272010393,2.916672439588456,1.1971001123140748
-1960.3480879484334,600,0,-1.6892626320076642,2.882937656600238,1.021999655230067
-1904.126717391008,600,0,-1.8674295848701592,2.6269041148169787,0.5923804751422105
-1961.8343778097778,600,0,-1.923182173944113,3.014455791066986,0.2458223048143846
-2029.7873061314356,600,0,-1.807647218600235,2.72126022097585,0.04271848196945305
-1955.251809832555,600,0,-1.3750014096282765,2.7290466513880323,1.506587365474577
-1984.2509372970665,600,0,-1.5399101359373613,3.026979351089682,1.10726499102878
-1911.9363260668786,600,0,-0.21628517111668022,2.823523652728191,2.0762667345282964
-1980.3701520071436,600,0,-1.516010265524034,2.8101915454158046,1.2951768252488898
-1869.9708231869706,600,0,-0.7309833082959474,2.7671417932516134,1.3974230389977904
-1891.385635160059,600,0,-1.2369838418596109,2.6898419996726375,0.774998764047107
-1974.4824899647635,600,0,-1.692505065507265,2.9396204678848763,0.9792402366251962
-2042.8828116152033,600,0,-1.9216714748307653,2.75300928555262,0.30166246563105137
-2032.164783223967,600,0,-1.9172825359599264,2.9294920508819335,0.5611692326009317
-1966.624899199182,600,0,-0.2950509023970841,2.6423875336964597,1.6938997302418783
-2033.3263105060562,600,0,-1.916891161977512,2.9753239209991045,0.5407923757126722
-1803.3371051323331,600,0,-1.564999800964332,2.8253934755161927,0.5927492490453955
-1985.556307560782,600,0,-1.6530419482974836,2.2905233611800746,0.9619184728999961
-2039.8430765187645,600,0,-1.6443915868126697,2.4071291561588546,1.1804138561246045
-2019.37324573238,600,0,-1.5825944970891923,2.2287874848123845,1.1539473128709004
-1938.5588643876004,600,0,-1.9969288500888465,3.0733757222987514,0.10682702890248541
-1981.0586626862512,600,0,-0.9488913979713026,2.6512629727897874,1.0137033155836475
-1772.2261598683297,600,0,-1.8286374380199097,2.6344165454932438,0.20441824293904426
-1841.54240733753,600,0,-0.5764021792414318,2.4747799752102098,1.1149396299312289
-1974.1298219688863,600,0,-1.256284888498258,2.925249714310595,1.5037660812186895
