episode_return,episode_length,episode_success,final_position
-200.0,200,0,-0.4801234304904938
-200.0,200,0,-0.4250876009464264
-200.0,200,0,-0.5607130527496338
-200.0,200,0,-0.5379352569580078
-200.0,200,0,-0.44451904296875
-200.0,200,0,-0.40563470125198364
-200.0,200,0,-0.4998517632484436
-200.0,200,0,-0.5712205171585083
-200.0,200,0,-0.5972127318382263
-200.0,200,0,-0.5540688037872314
-200.0,200,0,-0.5736355781555176
-200.0,200,0,-0.4644682705402374
-200.0,200,0,-0.5756335258483887
-200.0,200,0,-0.4987340271472931
-200.0,200,0,-0.4611475169658661
-200.0,200,0,-0.48377668857574463
-200.0,200,0,-0.5600448846817017
-200.0,200,0,-0.4391750991344452
-200.0,200,0,-0.4569185674190521
-200.0,200,0,-0.4522031843662262
-200.0,200,0,-0.5737884640693665
-200.0,200,0,-0.5752492547035217
-200.0,200,0,-0.41448748111724854
-200.0,200,0,-0.5204843878746033
-200.0,200,0,-0.5398102402687073
-200.0,200,0,-0.5022832155227661
-200.0,200,0,-0.46742716431617737
-200.0,200,0,-0.40887534618377686
-200.0,200,0,-0.5427107810974121
-200.0,200,0,-0.4150383174419403
-200.0,200,0,-0.5950281023979187
-200.0,200,0,-0.4889603853225708
-200.0,200,0,-0.47320497035980225
-200.0,200,0,-0.578820526599884
-200.0,200,0,-0.5719320774078369
-200.0,200,0,-0.5161771178245544
-200.0,200,0,-0.40675362944602966
-200.0,200,0,-0.48079147934913635
-200.0,200,0,-0.41339534521102905
-200.0,200,0,-0.4391278028488159
-200.0,200,0,-0.5065236687660217
-200.0,200,0,-0.44304731488227844
-200.0,200,0,-0.596432626247406
-200.0,200,0,-0.5781711935997009
-200.0,200,0,-0.4341142773628235
-200.0,200,0,-0.4406365752220154
-200.0,200,0,-0.5534718632698059
-200.0,200,0,-0.4938460886478424
-200.0,200,0,-0.4787968397140503
-200.0,200,0,-0.4264522194862366
-200.0,200,0,-0.4793785810470581
-200.0,200,0,-0.5174856781959534
-200.0,200,0,-0.5251631736755371
-200.0,200,0,-0.5148235559463501
-200.0,200,0,-0.46961379051208496
-200.0,200,0,-0.4265018701553345
-200.0,200,0,-0.5092206001281738
-200.0,200,0,-0.5504320859909058
-200.0,200,0,-0.552667498588562
-200.0,200,0,-0.4507971405982971
-200.0,200,0,-0.436686247587204
-200.0,200,0,-0.5789443850517273
-200.0,200,0,-0.586688220500946
-200.0,200,0,-0.4811132550239563
-200.0,200,0,-0.5707653760910034
-200.0,200,0,-0.43506714701652527
-200.0,200,0,-0.5379330515861511
-200.0,200,0,-0.571225643157959
-200.0,200,0,-0.4158059060573578
-200.0,200,0,-0.5668936371803284
-200.0,200,0,-0.5430560111999512
-200.0,200,0,-0.5692773461341858
-200.0,200,0,-0.5769019722938538
-200.0,200,0,-0.5957704186439514
-200.0,200,0,-0.5889208912849426
-200.0,200,0,-0.565071702003479
-200.0,200,0,-0.5893236398696899
-200.0,200,0,-0.48177123069763184
-200.0,200,0,-0.46385708451271057
-200.0,200,0,-0.5212739109992981
-200.0,200,0,-0.5364018082618713
-200.0,200,0,-0.49909475445747375
-200.0,200,0,-0.4249989986419678
-200.0,200,0,-0.4297736883163452
-200.0,200,0,-0.5913049578666687
-200.0,200,0,-0.5637003183364868
-200.0,200,0,-0.552651047706604
-200.0,200,0,-0.5501224994659424
-200.0,200,0,-0.48575347661972046
-200.0,200,0,-0.5167475342750549
-200.0,200,0,-0.5901491641998291
-200.0,200,0,-0.5252771973609924
-200.0,200,0,-0.4952494204044342
-200.0,200,0,-0.5796656012535095
-200.0,200,0,-0.43330830335617065
-200.0,200,0,-0.5896076560020447
-200.0,200,0,-0.4150316119194031
-200.0,200,0,-0.580177366733551
-200.0,200,0,-0.43128502368927
-200.0,200,0,-0.41946935653686523
-200.0,200,0,-0.4040858745574951
-200.0,200,0,-0.4395948350429535
-200.0,200,0,-0.44410449266433716
-200.0,200,0,-0.471503347158432
-200.0,200,0,-0.444200724363327
-200.0,200,0,-0.5730895400047302
-200.0,200,0,-0.4927864074707031
-200.0,200,0,-0.49715542793273926
-200.0,200,0,-0.42848557233810425
-200.0,200,0,-0.5074401497840881
-200.0,200,0,-0.522982120513916
-200.0,200,0,-0.4720873534679413
-200.0,200,0,-0.5467073321342468
-200.0,200,0,-0.5720463395118713
-200.0,200,0,-0.5044245719909668
-200.0,200,0,-0.5166221261024475
-200.0,200,0,-0.5534859895706177
-200.0,200,0,-0.5264976620674133
-200.0,200,0,-0.5267215371131897
-200.0,200,0,-0.5345008969306946
-200.0,200,0,-0.5241071581840515
-200.0,200,0,-0.462851345539093
-200.0,200,0,-0.5406246781349182
-200.0,200,0,-0.4102284014225006
-200.0,200,0,-0.4167304039001465
-200.0,200,0,-0.5038179159164429
-200.0,200,0,-0.5343277454376221
-200.0,200,0,-0.49291303753852844
-200.0,200,0,-0.4302878975868225
-200.0,200,0,-0.46948254108428955
-200.0,200,0,-0.43912163376808167
-200.0,200,0,-0.49345555901527405
-200.0,200,0,-0.4734164774417877
-200.0,200,0,-0.5423688888549805
-200.0,200,0,-0.453021377325058
-200.0,200,0,-0.5595190525054932
