reward,episode_length,success,final_position,max_position
-200.0,200,0,-0.41132622957229614,-0.3847634196281433
-200.0,200,0,-0.6434962749481201,-0.42131614685058594
-200.0,200,0,-0.5598159432411194,-0.44783449172973633
-200.0,200,0,-0.3213496208190918,-0.3213496208190918
-200.0,200,0,-0.35558193922042847,-0.35558193922042847
-200.0,200,0,-0.5963520407676697,-0.3929273188114166
-200.0,200,0,-0.2966715395450592,-0.18550176918506622
-200.0,200,0,-0.45206812024116516,-0.3909287452697754
-200.0,200,0,-0.46973922848701477,-0.4407135546207428
-200.0,200,0,-0.6365038156509399,-0.33188092708587646
-200.0,200,0,-0.46696606278419495,-0.44578251242637634
-200.0,200,0,-0.5687437653541565,-0.4220145344734192
-200.0,200,0,-0.5907313823699951,-0.41195815801620483
-200.0,200,0,-0.6090059280395508,-0.44518959522247314
-200.0,200,0,-0.5290365219116211,-0.454776406288147
-200.0,200,0,-0.5675960183143616,-0.40548175573349
-200.0,200,0,-0.5747911930084229,-0.43760210275650024
-200.0,200,0,-0.45164138078689575,-0.43075063824653625
-200.0,200,0,-0.5519837141036987,-0.3933776915073395
-200.0,200,0,-0.5988690853118896,-0.451999306678772
-200.0,200,0,-0.5559000968933105,-0.42359158396720886
-200.0,200,0,-0.6017628312110901,-0.3899024724960327
-200.0,200,0,-0.48340606689453125,-0.4035370945930481
-200.0,200,0,-0.5217580795288086,-0.4078640639781952
-200.0,200,0,-0.523808479309082,-0.38126546144485474
-200.0,200,0,-0.3704852759838104,-0.3704852759838104
-200.0,200,0,-0.5520808100700378,-0.4374443292617798
-200.0,200,0,-0.4509355425834656,-0.4438113868236542
-200.0,200,0,-0.3942505419254303,-0.3942505419254303
-200.0,200,0,-0.613675057888031,-0.41702818870544434
-200.0,200,0,-0.45390400290489197,-0.3845692276954651
-200.0,200,0,-0.4376468062400818,-0.3976215124130249
-200.0,200,0,-0.6237938404083252,-0.29626893997192383
-200.0,200,0,-0.5994957685470581,-0.3920002281665802
-200.0,200,0,-0.8351548910140991,-0.2635871469974518
-200.0,200,0,-0.6131283640861511,-0.4062490165233612
-200.0,200,0,-0.4715833067893982,-0.3369525372982025
-200.0,200,0,-0.5610159635543823,-0.3177739977836609
-200.0,200,0,-0.609817624092102,-0.45452165603637695
-200.0,200,0,-0.3506741523742676,-0.3506741523742676
-200.0,200,0,-0.5074427127838135,-0.41605255007743835
-200.0,200,0,-0.6523124575614929,-0.41073840856552124
-200.0,200,0,-0.5502623915672302,-0.40390121936798096
-200.0,200,0,-0.5480901598930359,-0.41367775201797485
-200.0,200,0,-0.42536547780036926,-0.41732046008110046
-200.0,200,0,-0.4598467946052551,-0.44852206110954285
-200.0,200,0,-0.3904988169670105,-0.3795968294143677
-200.0,200,0,-0.6119405627250671,-0.3886359632015228
-200.0,200,0,-0.47324660420417786,-0.4283941686153412
-200.0,200,0,-0.4555727243423462,-0.4476940333843231
-200.0,200,0,-0.4535301625728607,-0.3919641077518463
-200.0,200,0,-0.551604688167572,-0.43405529856681824
-200.0,200,0,-0.40247470140457153,-0.37872421741485596
-200.0,200,0,-0.5184080600738525,-0.4234778881072998
-200.0,200,0,-0.4541296064853668,-0.44038906693458557
-200.0,200,0,-0.4512721002101898,-0.4499956965446472
-200.0,200,0,-0.5136138200759888,-0.35793226957321167
-200.0,200,0,-0.5322867631912231,-0.44259223341941833
-200.0,200,0,-0.448184609413147,-0.3853125274181366
-200.0,200,0,-0.5020164847373962,-0.4040752649307251
-200.0,200,0,-0.3972513973712921,-0.3972513973712921
-200.0,200,0,-0.5972985625267029,-0.27032625675201416
-200.0,200,0,-0.4576365649700165,-0.43455275893211365
-200.0,200,0,-0.5051782131195068,-0.3007075786590576
-200.0,200,0,-0.4786273241043091,-0.37577375769615173
-200.0,200,0,-0.5711215734481812,-0.42619195580482483
-200.0,200,0,-0.5368847846984863,-0.33374109864234924
-200.0,200,0,-0.553794801235199,-0.42687708139419556
-200.0,200,0,-0.47519955039024353,-0.4211095869541168
-200.0,200,0,-0.6057624220848083,-0.3623899817466736
-200.0,200,0,-0.4891650974750519,-0.3963232636451721
-200.0,200,0,-0.3961982727050781,-0.3791709542274475
-200.0,200,0,-0.49984976649284363,-0.45951709151268005
-200.0,200,0,-0.5572600960731506,-0.3227246105670929
-200.0,200,0,-0.36368507146835327,-0.3354025185108185
-200.0,200,0,-0.5505669713020325,-0.3489004373550415
-200.0,200,0,-0.6036723852157593,-0.3620171546936035
-200.0,200,0,-0.514818012714386,-0.3871806561946869
-200.0,200,0,-0.5157647728919983,-0.40527281165122986
-200.0,200,0,-0.47431665658950806,-0.4222966432571411
-200.0,200,0,-0.48768192529678345,-0.40952542424201965
-200.0,200,0,-0.42515891790390015,-0.3451263904571533
-200.0,200,0,-0.5553049445152283,-0.3964870274066925
-200.0,200,0,-0.6617845296859741,-0.38627275824546814
